[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-22:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-21:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-23:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -642.96, episode_reward_trend_value=0.0
total_number_of_episodes = 30, number_of_timesteps=30000, per_episode_reward = -658.26, episode_reward_trend_value=-1.5292717068499884
total_number_of_episodes = 40, number_of_timesteps=40000, per_episode_reward = -652.63, episode_reward_trend_value=-0.48330778648376055
total_number_of_episodes = 50, number_of_timesteps=50000, per_episode_reward = -647.87, episode_reward_trend_value=-0.1635323767881914
total_number_of_episodes = 60, number_of_timesteps=60000, per_episode_reward = -651.19, episode_reward_trend_value=-0.20564993822131045
total_number_of_episodes = 70, number_of_timesteps=70000, per_episode_reward = -649.41, episode_reward_trend_value=-0.12898573583959888
total_number_of_episodes = 80, number_of_timesteps=80000, per_episode_reward = -649.59, episode_reward_trend_value=-0.11048170994646778
total_number_of_episodes = 90, number_of_timesteps=90000, per_episode_reward = -646.23, episode_reward_trend_value=-0.046610681150675
total_number_of_episodes = 100, number_of_timesteps=100000, per_episode_reward = -646.37, episode_reward_trend_value=-0.042631422271534804
total_number_of_episodes = 110, number_of_timesteps=110000, per_episode_reward = -644.45, episode_reward_trend_value=-0.016478847693105713
total_number_of_episodes = 120, number_of_timesteps=120000, per_episode_reward = -645.47, episode_reward_trend_value=0.142086386430132
total_number_of_episodes = 130, number_of_timesteps=130000, per_episode_reward = -645.86, episode_reward_trend_value=0.07522815277345925
total_number_of_episodes = 140, number_of_timesteps=140000, per_episode_reward = -645.04, episode_reward_trend_value=0.031418599366549595
total_number_of_episodes = 150, number_of_timesteps=150000, per_episode_reward = -645.57, episode_reward_trend_value=0.06247167218276799
total_number_of_episodes = 160, number_of_timesteps=160000, per_episode_reward = -645.32, episode_reward_trend_value=0.04541143311409617
total_number_of_episodes = 170, number_of_timesteps=170000, per_episode_reward = -645.56, episode_reward_trend_value=0.044823425456735955
total_number_of_episodes = 180, number_of_timesteps=180000, per_episode_reward = -646.84, episode_reward_trend_value=-0.006810876114757826
total_number_of_episodes = 190, number_of_timesteps=190000, per_episode_reward = -647.57, episode_reward_trend_value=-0.013332503593164801
total_number_of_episodes = 200, number_of_timesteps=200000, per_episode_reward = -647.11, episode_reward_trend_value=-0.029616085816554817
total_number_of_episodes = 210, number_of_timesteps=210000, per_episode_reward = -651.00, episode_reward_trend_value=-0.061461541964148284
Hit early stopping because -650.9991750235728 < -600
Process Process-25:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
[32m[I 2022-10-19 22:09:51,433][0m Trial 2 finished with value: -650.3 and parameters: {'lr_b': 3, 'lr_e': -7, 'beta_b': 2, 'beta_e': -1, 'tmax': 5, 'activ': 0, 'hid': 3}. Best is trial 0 with value: -454.9.[0m
Process Process-34:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-35:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-32:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -4045730178301382.50, episode_reward_trend_value=0.0
Hit early stopping because -4045730178301382.5 < -800
Process Process-36:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-31:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-38:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-40:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
[32m[I 2022-10-19 22:10:02,524][0m Trial 3 finished with value: -3704483845154493.0 and parameters: {'lr_b': 1, 'lr_e': -1, 'beta_b': 2, 'beta_e': -5, 'tmax': 1, 'activ': 0, 'hid': 0}. Best is trial 0 with value: -454.9.[0m
total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -670.97, episode_reward_trend_value=0.0
total_number_of_episodes = 30, number_of_timesteps=30000, per_episode_reward = -650.30, episode_reward_trend_value=2.0669768904490295
total_number_of_episodes = 40, number_of_timesteps=40000, per_episode_reward = -643.30, episode_reward_trend_value=1.3834246681356888
total_number_of_episodes = 50, number_of_timesteps=50000, per_episode_reward = -640.44, episode_reward_trend_value=1.0177043577242444
total_number_of_episodes = 60, number_of_timesteps=60000, per_episode_reward = -642.56, episode_reward_trend_value=0.7103988373020684
total_number_of_episodes = 70, number_of_timesteps=70000, per_episode_reward = -647.51, episode_reward_trend_value=0.46916696855005513
total_number_of_episodes = 80, number_of_timesteps=80000, per_episode_reward = -642.08, episode_reward_trend_value=0.4814882852661033
total_number_of_episodes = 90, number_of_timesteps=90000, per_episode_reward = -640.13, episode_reward_trend_value=0.44060695442794245
total_number_of_episodes = 100, number_of_timesteps=100000, per_episode_reward = -641.88, episode_reward_trend_value=0.36370132412448586
total_number_of_episodes = 110, number_of_timesteps=110000, per_episode_reward = -644.37, episode_reward_trend_value=0.29554453099506445
total_number_of_episodes = 120, number_of_timesteps=120000, per_episode_reward = -643.20, episode_reward_trend_value=0.07892927069686947
total_number_of_episodes = 130, number_of_timesteps=130000, per_episode_reward = -642.92, episode_reward_trend_value=0.004287084793168106
total_number_of_episodes = 140, number_of_timesteps=140000, per_episode_reward = -645.05, episode_reward_trend_value=-0.05124828568373611
total_number_of_episodes = 150, number_of_timesteps=150000, per_episode_reward = -581.93, episode_reward_trend_value=0.673643669301234
total_number_of_episodes = 160, number_of_timesteps=160000, per_episode_reward = -583.28, episode_reward_trend_value=0.7136784253128086
total_number_of_episodes = 170, number_of_timesteps=170000, per_episode_reward = -582.36, episode_reward_trend_value=0.6635934605350446
total_number_of_episodes = 180, number_of_timesteps=180000, per_episode_reward = -581.47, episode_reward_trend_value=0.6517335327379694
total_number_of_episodes = 190, number_of_timesteps=190000, per_episode_reward = -580.52, episode_reward_trend_value=0.6817222501948815
total_number_of_episodes = 200, number_of_timesteps=200000, per_episode_reward = -581.66, episode_reward_trend_value=0.696769347419902
total_number_of_episodes = 210, number_of_timesteps=210000, per_episode_reward = -580.95, episode_reward_trend_value=0.6916231704758022
total_number_of_episodes = 220, number_of_timesteps=220000, per_episode_reward = -581.63, episode_reward_trend_value=0.6809777656097278
total_number_of_episodes = 230, number_of_timesteps=230000, per_episode_reward = -583.49, episode_reward_trend_value=0.6840729530708813
total_number_of_episodes = 240, number_of_timesteps=240000, per_episode_reward = -584.68, episode_reward_trend_value=-0.03057635750210213
total_number_of_episodes = 250, number_of_timesteps=250000, per_episode_reward = -587.10, episode_reward_trend_value=-0.042412414304713916
total_number_of_episodes = 260, number_of_timesteps=260000, per_episode_reward = -584.85, episode_reward_trend_value=-0.027627280740788747
total_number_of_episodes = 270, number_of_timesteps=270000, per_episode_reward = -585.87, episode_reward_trend_value=-0.04886411751042235
total_number_of_episodes = 280, number_of_timesteps=280000, per_episode_reward = -582.07, episode_reward_trend_value=-0.017172041678740393
total_number_of_episodes = 290, number_of_timesteps=290000, per_episode_reward = -584.10, episode_reward_trend_value=-0.027109639226323957
total_number_of_episodes = 300, number_of_timesteps=300000, per_episode_reward = -583.78, episode_reward_trend_value=-0.0313503217662704
total_number_of_episodes = 310, number_of_timesteps=310000, per_episode_reward = -582.77, episode_reward_trend_value=-0.012659460053597135
total_number_of_episodes = 320, number_of_timesteps=320000, per_episode_reward = -583.10, episode_reward_trend_value=0.004301003264338811
total_number_of_episodes = 330, number_of_timesteps=330000, per_episode_reward = -583.68, episode_reward_trend_value=0.01112521971122457
total_number_of_episodes = 340, number_of_timesteps=340000, per_episode_reward = -584.29, episode_reward_trend_value=0.03126823658896885
total_number_of_episodes = 350, number_of_timesteps=350000, per_episode_reward = -584.36, episode_reward_trend_value=0.005430849410014263
total_number_of_episodes = 360, number_of_timesteps=360000, per_episode_reward = -582.64, episode_reward_trend_value=0.03588137217078358
total_number_of_episodes = 370, number_of_timesteps=370000, per_episode_reward = -584.70, episode_reward_trend_value=-0.029293336838125267
total_number_of_episodes = 380, number_of_timesteps=380000, per_episode_reward = -582.95, episode_reward_trend_value=0.01284239305820165
total_number_of_episodes = 390, number_of_timesteps=390000, per_episode_reward = -582.31, episode_reward_trend_value=0.016306725618579144
total_number_of_episodes = 400, number_of_timesteps=400000, per_episode_reward = -582.11, episode_reward_trend_value=0.0073595492244850095
total_number_of_episodes = 410, number_of_timesteps=410000, per_episode_reward = -580.34, episode_reward_trend_value=0.030710095388333986
total_number_of_episodes = 420, number_of_timesteps=420000, per_episode_reward = -581.00, episode_reward_trend_value=0.029741598715298145
total_number_of_episodes = 430, number_of_timesteps=430000, per_episode_reward = -579.57, episode_reward_trend_value=0.05240905953355397
total_number_of_episodes = 440, number_of_timesteps=440000, per_episode_reward = -580.96, episode_reward_trend_value=0.03776198480322314
total_number_of_episodes = 450, number_of_timesteps=450000, per_episode_reward = -581.89, episode_reward_trend_value=0.008417173364784957
total_number_of_episodes = 460, number_of_timesteps=460000, per_episode_reward = -582.16, episode_reward_trend_value=0.0282465856680018
total_number_of_episodes = 470, number_of_timesteps=470000, per_episode_reward = -583.13, episode_reward_trend_value=-0.00197037039899644
total_number_of_episodes = 480, number_of_timesteps=480000, per_episode_reward = -582.33, episode_reward_trend_value=-0.00027064456131837585
total_number_of_episodes = 490, number_of_timesteps=490000, per_episode_reward = -582.12, episode_reward_trend_value=-0.00011309834506568626
total_number_of_episodes = 500, number_of_timesteps=500000, per_episode_reward = -581.20, episode_reward_trend_value=-0.009587487288476698
total_number_of_episodes = 510, number_of_timesteps=510000, per_episode_reward = -582.42, episode_reward_trend_value=-0.015725092458382682
total_number_of_episodes = 520, number_of_timesteps=520000, per_episode_reward = -582.78, episode_reward_trend_value=-0.03563598400547284
total_number_of_episodes = 530, number_of_timesteps=530000, per_episode_reward = -583.44, episode_reward_trend_value=-0.027607445267235815
total_number_of_episodes = 540, number_of_timesteps=540000, per_episode_reward = -582.08, episode_reward_trend_value=-0.002133830383389876
total_number_of_episodes = 550, number_of_timesteps=550000, per_episode_reward = -581.14, episode_reward_trend_value=0.011322145242257244
total_number_of_episodes = 560, number_of_timesteps=560000, per_episode_reward = -581.25, episode_reward_trend_value=0.020894478449579562
total_number_of_episodes = 570, number_of_timesteps=570000, per_episode_reward = -581.72, episode_reward_trend_value=0.006748473069664367
total_number_of_episodes = 580, number_of_timesteps=580000, per_episode_reward = -580.70, episode_reward_trend_value=0.01573292668550342
total_number_of_episodes = 590, number_of_timesteps=590000, per_episode_reward = -581.08, episode_reward_trend_value=0.0012757116057981774
total_number_of_episodes = 600, number_of_timesteps=600000, per_episode_reward = -581.58, episode_reward_trend_value=0.009324211572848323
total_number_of_episodes = 610, number_of_timesteps=610000, per_episode_reward = -580.63, episode_reward_trend_value=0.02387025318665413
total_number_of_episodes = 620, number_of_timesteps=620000, per_episode_reward = -581.33, episode_reward_trend_value=0.02344903486816242
total_number_of_episodes = 630, number_of_timesteps=630000, per_episode_reward = -581.30, episode_reward_trend_value=0.008610105949712003
total_number_of_episodes = 640, number_of_timesteps=640000, per_episode_reward = -581.48, episode_reward_trend_value=-0.003744266416040571
total_number_of_episodes = 650, number_of_timesteps=650000, per_episode_reward = -581.74, episode_reward_trend_value=-0.005521557944542918
total_number_of_episodes = 660, number_of_timesteps=660000, per_episode_reward = -581.62, episode_reward_trend_value=0.0011061080491900712
total_number_of_episodes = 670, number_of_timesteps=670000, per_episode_reward = -582.31, episode_reward_trend_value=-0.017899787296535883
total_number_of_episodes = 680, number_of_timesteps=680000, per_episode_reward = -582.23, episode_reward_trend_value=-0.012744375014983688
total_number_of_episodes = 690, number_of_timesteps=690000, per_episode_reward = -582.09, episode_reward_trend_value=-0.005692799578018063
total_number_of_episodes = 700, number_of_timesteps=700000, per_episode_reward = -582.18, episode_reward_trend_value=-0.017235303802496875
total_number_of_episodes = 710, number_of_timesteps=710000, per_episode_reward = -582.52, episode_reward_trend_value=-0.013143388281669863
total_number_of_episodes = 720, number_of_timesteps=720000, per_episode_reward = -582.78, episode_reward_trend_value=-0.016451525680445733
total_number_of_episodes = 730, number_of_timesteps=730000, per_episode_reward = -582.83, episode_reward_trend_value=-0.015032787906973984
total_number_of_episodes = 740, number_of_timesteps=740000, per_episode_reward = -582.46, episode_reward_trend_value=-0.007992015750357951
total_number_of_episodes = 750, number_of_timesteps=750000, per_episode_reward = -582.68, episode_reward_trend_value=-0.011750558372832781
total_number_of_episodes = 760, number_of_timesteps=760000, per_episode_reward = -582.98, episode_reward_trend_value=-0.007383643938005157
total_number_of_episodes = 770, number_of_timesteps=770000, per_episode_reward = -583.57, episode_reward_trend_value=-0.01484720837314626
total_number_of_episodes = 780, number_of_timesteps=780000, per_episode_reward = -584.21, episode_reward_trend_value=-0.023564719736690325
total_number_of_episodes = 790, number_of_timesteps=790000, per_episode_reward = -583.54, episode_reward_trend_value=-0.015114122956014045
total_number_of_episodes = 800, number_of_timesteps=800000, per_episode_reward = -583.19, episode_reward_trend_value=-0.007518830872215353
total_number_of_episodes = 810, number_of_timesteps=810000, per_episode_reward = -583.18, episode_reward_trend_value=-0.004414098973356633
total_number_of_episodes = 820, number_of_timesteps=820000, per_episode_reward = -583.19, episode_reward_trend_value=-0.00400803952175516
total_number_of_episodes = 830, number_of_timesteps=830000, per_episode_reward = -583.07, episode_reward_trend_value=-0.006741646578140919
total_number_of_episodes = 840, number_of_timesteps=840000, per_episode_reward = -583.52, episode_reward_trend_value=-0.009333936888404221
total_number_of_episodes = 850, number_of_timesteps=850000, per_episode_reward = -583.09, episode_reward_trend_value=-0.0011986341115339705
total_number_of_episodes = 860, number_of_timesteps=860000, per_episode_reward = -583.77, episode_reward_trend_value=-0.0022655837524300495
total_number_of_episodes = 870, number_of_timesteps=870000, per_episode_reward = -583.25, episode_reward_trend_value=0.010730990927940335
total_number_of_episodes = 880, number_of_timesteps=880000, per_episode_reward = -583.29, episode_reward_trend_value=0.0027814465475279977
total_number_of_episodes = 890, number_of_timesteps=890000, per_episode_reward = -582.77, episode_reward_trend_value=0.004696671629618424
total_number_of_episodes = 900, number_of_timesteps=900000, per_episode_reward = -582.39, episode_reward_trend_value=0.008759955224056487
total_number_of_episodes = 910, number_of_timesteps=910000, per_episode_reward = -582.55, episode_reward_trend_value=0.007119920853052816
total_number_of_episodes = 920, number_of_timesteps=920000, per_episode_reward = -582.45, episode_reward_trend_value=0.006862335640981756
total_number_of_episodes = 930, number_of_timesteps=930000, per_episode_reward = -582.22, episode_reward_trend_value=0.014513272061968665
total_number_of_episodes = 940, number_of_timesteps=940000, per_episode_reward = -582.43, episode_reward_trend_value=0.00729833569543593
total_number_of_episodes = 950, number_of_timesteps=950000, per_episode_reward = -582.76, episode_reward_trend_value=0.011263255271577084
total_number_of_episodes = 960, number_of_timesteps=960000, per_episode_reward = -582.48, episode_reward_trend_value=0.00855992107375035
total_number_of_episodes = 970, number_of_timesteps=970000, per_episode_reward = -582.72, episode_reward_trend_value=0.006379728486960327
total_number_of_episodes = 980, number_of_timesteps=980000, per_episode_reward = -582.44, episode_reward_trend_value=0.0036849223212698234
total_number_of_episodes = 990, number_of_timesteps=990000, per_episode_reward = -582.87, episode_reward_trend_value=-0.005351218765393797
total_number_of_episodes = 1000, number_of_timesteps=1000000, per_episode_reward = -582.64, episode_reward_trend_value=-0.0009755757463633726
total_number_of_episodes = 1010, number_of_timesteps=1010000, per_episode_reward = -582.73, episode_reward_trend_value=-0.0031223769671568234
total_number_of_episodes = 1020, number_of_timesteps=1020000, per_episode_reward = -582.77, episode_reward_trend_value=-0.006193653199049246
total_number_of_episodes = 1030, number_of_timesteps=1030000, per_episode_reward = -582.55, episode_reward_trend_value=-0.0013192868492423158
total_number_of_episodes = 1040, number_of_timesteps=1040000, per_episode_reward = -582.49, episode_reward_trend_value=0.0029544151169804737
total_number_of_episodes = 1050, number_of_timesteps=1050000, per_episode_reward = -582.67, episode_reward_trend_value=-0.0021494687340224217
total_number_of_episodes = 1060, number_of_timesteps=1060000, per_episode_reward = -582.09, episode_reward_trend_value=0.006978831755956587
total_number_of_episodes = 1070, number_of_timesteps=1070000, per_episode_reward = -582.52, episode_reward_trend_value=-0.0008855562721616176
total_number_of_episodes = 1080, number_of_timesteps=1080000, per_episode_reward = -582.23, episode_reward_trend_value=0.007163145984527041
total_number_of_episodes = 1090, number_of_timesteps=1090000, per_episode_reward = -582.02, episode_reward_trend_value=0.006905906743965159
total_number_of_episodes = 1100, number_of_timesteps=1100000, per_episode_reward = -582.20, episode_reward_trend_value=0.0058769823394161196
total_number_of_episodes = 1110, number_of_timesteps=1110000, per_episode_reward = -582.34, episode_reward_trend_value=0.00486861219843225
total_number_of_episodes = 1120, number_of_timesteps=1120000, per_episode_reward = -582.22, episode_reward_trend_value=0.0036841778914852817
total_number_of_episodes = 1130, number_of_timesteps=1130000, per_episode_reward = -581.92, episode_reward_trend_value=0.006314946960844736
total_number_of_episodes = 1140, number_of_timesteps=1140000, per_episode_reward = -582.17, episode_reward_trend_value=0.005562830854569256
total_number_of_episodes = 1150, number_of_timesteps=1150000, per_episode_reward = -582.17, episode_reward_trend_value=-0.0009191373169579088
total_number_of_episodes = 1160, number_of_timesteps=1160000, per_episode_reward = -582.86, episode_reward_trend_value=-0.003773823433458448
total_number_of_episodes = 1170, number_of_timesteps=1170000, per_episode_reward = -583.78, episode_reward_trend_value=-0.017252989637166948
total_number_of_episodes = 1180, number_of_timesteps=1180000, per_episode_reward = -583.52, episode_reward_trend_value=-0.016675118611071106
